word	valence	arousal	dominance	goodness	energy	structure	power	danger
biennial	0.03098	-0.190966	-0.147155	-0.015567	-0.242268	0.012092	-0.182317	-0.160302
biennials	0.03098	-0.190966	-0.147155	-0.015567	-0.242268	0.012092	-0.182317	-0.160302
bier	-0.00302	-0.051966	-0.093155	-0.039693	-0.092891	0.034396	-0.093752	-0.037617
biers	-0.00302	-0.051966	-0.093155	-0.039693	-0.092891	0.034396	-0.093752	-0.037617
bifurcation	-0.11502	0.125034	-0.148155	-0.189335	0.04119	0.11519	-0.104755	0.163006
bifurcations	-0.11502	0.125034	-0.148155	-0.189335	0.04119	0.11519	-0.104755	0.163006
big	0.30198	0.088034	0.311845	0.397792	0.193515	-0.022422	0.418117	-0.144446
bigamies	-0.17302	0.196034	-0.018155	-0.187449	0.179491	0.036615	-0.005627	0.259466
bigamy	-0.17302	0.196034	-0.018155	-0.187449	0.179491	0.036615	-0.005627	0.259466
bigday	0.29598	0.189034	0.095845	0.273544	0.160707	0.178524	0.307062	-0.079788
biggestfear	-0.43802	0.230034	-0.020155	-0.422366	0.248727	-0.070182	-0.122781	0.474534
biggie	0.03098	-0.018966	-0.000155	0.029514	-0.020673	0.004583	0.006252	-0.035488
biggies	0.03098	-0.018966	-0.000155	0.029514	-0.020673	0.004583	0.006252	-0.035488
bighorn	-0.02002	0.047034	0.079845	0.014123	0.085282	-0.038933	0.07029	0.050317
bighorns	-0.02002	0.047034	0.079845	0.014123	0.085282	-0.038933	0.07029	0.050317
bigmouth	-0.08302	0.077034	-0.070155	-0.11698	0.038767	0.050608	-0.055305	0.11013
bigmouths	-0.08302	0.077034	-0.070155	-0.11698	0.038767	0.050608	-0.055305	0.11013
bigot	-0.02102	0.245034	0.016845	-0.046637	0.214647	0.111888	0.118801	0.184756
bigoted	-0.34702	0.260034	-0.038155	-0.356916	0.249206	0.002075	-0.076163	0.428592
bigotries	-0.14402	0.237034	-0.019155	-0.169006	0.20815	0.073514	0.027679	0.26669
bigotry	-0.14402	0.237034	-0.019155	-0.169006	0.20815	0.073514	0.027679	0.26669
bigots	-0.02102	0.245034	0.016845	-0.046637	0.214647	0.111888	0.118801	0.184756
bigs	0.30198	0.088034	0.311845	0.397792	0.193515	-0.022422	0.418117	-0.144446
bike	0.20798	3.4e-05	-0.167155	0.099155	-0.12376	0.214588	-0.017398	-0.157625
biker	0.10398	0.210034	0.066845	0.09062	0.192937	0.118142	0.200505	0.072349
bikers	0.10398	0.210034	0.066845	0.09062	0.192937	0.118142	0.200505	0.072349
bikes	0.20798	3.4e-05	-0.167155	0.099155	-0.12376	0.214588	-0.017398	-0.157625
bikini	0.22998	0.139034	-0.147155	0.107027	-0.001747	0.287085	0.074444	-0.076915
bikinis	0.22998	0.139034	-0.147155	0.107027	-0.001747	0.287085	0.074444	-0.076915
bilateral	0.13298	-0.156966	-0.009155	0.133886	-0.155677	-0.015657	-0.015409	-0.204751
bilayer	-0.06202	-0.101966	-0.112155	-0.092331	-0.135032	-0.007977	-0.16077	-0.030195
bilayers	-0.06202	-0.101966	-0.112155	-0.092331	-0.135032	-0.007977	-0.16077	-0.030195
bile	-0.34302	-0.038966	-0.176155	-0.375244	-0.072928	-0.063916	-0.316906	0.213769
biles	-0.34302	-0.038966	-0.176155	-0.375244	-0.072928	-0.063916	-0.316906	0.213769
bilge	-0.18402	-0.107966	-0.088155	-0.185251	-0.107513	-0.086108	-0.207015	0.054969
bilingual	0.23498	-0.009966	0.105845	0.255391	0.011676	0.034018	0.188844	-0.172333
bilinguals	0.23498	-0.009966	0.105845	0.255391	0.011676	0.034018	0.188844	-0.172333
bill	-0.10402	-0.097966	0.034845	-0.058437	-0.045345	-0.127125	-0.073384	0.009258
billboard	0.09398	-0.182966	-0.019155	0.09927	-0.176328	-0.041587	-0.054488	-0.194878
billboards	0.09398	-0.182966	-0.019155	0.09927	-0.176328	-0.041587	-0.054488	-0.194878
billet	-0.02102	0.083034	-0.000155	-0.030629	0.071775	0.035309	0.029094	0.072411
billets	-0.02102	0.083034	-0.000155	-0.030629	0.071775	0.035309	0.029094	0.072411
billiard	0.21898	0.116034	0.042845	0.192427	0.08403	0.138428	0.195485	-0.076648
